valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;academia;varanda;transporte;salao;planejado
650000;Onde nos encontrar? Instagram: @oalmeidaimoveis Site: OAlmeida.com.br Youtube:OAlmeida Imóveis  Pra você investidor!  Imóvel com 3 quartos, sala, cozinha, 2 banheiros, área de serv...;Taguatinga Norte; Brasília;3;3;2;150;0;0;Nenhuma;0;0;0;0;0;0
585000;A Home Imobiliária Df disponibiliza para venda Apartamento Cedro 81 M² 02 quartos + reversível 81m² 12° andar Vaga de garagem com armário Próximo Atacadista Dia a Dia e Centro Clín...;Rua 5; Norte;2;1;2;81;1170;614;Nenhuma;0;0;0;0;0;0
43000;AGIO R$ 43.000,00  NÃO EXIGE TRANSFERENCIA.  PRESTAÇOES DECRESCENTES R$ 1.918 A/CARRO SALDO DEVEDOR R$ 210.000,00  CASA COM 02 QUARTOS, SALA, COZINHA, BANHEIRO, CERAMICA, FORRO, CO...;QR 417; Samambaia Norte;3;2;2;126;220;0;Nenhuma;0;0;0;0;0;0
250000;SALA PRONTA de 32m² QS 1 Rua 210 LT 34 Valor do condomínio: R$ 451 Cidade: ÁGUAS CLARAS  Detalhes Nome do Edifício: Lad Águas Claras Excelente sala comercial sendo:   Sala e banhei...;QS 1 Rua 210; Areal;1;0;1;32;0;0;Nenhuma;0;0;0;0;0;0
1600000;Excelente Imóvel na Vila Planalto para renda com aluguel.   Sobrado com 748.29m², com várias kits. Parte superior: composta de salão, e um apartamento com dois quartos. Andar infer...;Avenida Pacheco Fernandes; Vila Planalto ;15;4;4;748;2193;0;Nenhuma;0;0;0;0;1;0
255000;Casa na QNP 20 NO SETOR PSUL, com dois quartos, sala, cozinha grande,  garagem e banheiro. Conta, ainda, com dois barracos de pavimento. ÓTIMO PARA RENDA (3 alugueis)  OTIMA LOCALI...;QNP 20 Conjunto C; Ceilandia Sul;2;2;1;157;0;0;Nenhuma;0;0;0;0;0;0
299000;Casa a venda na QNO 16   Ceilândia Norte  Casa de esquina: com 3 quartos sendo 1 suíte, Sala Cozinha grande Banheiro social Área de serviço Vaga de garagem. Mais 1 quarto/suíte ind...;QNO 16 Conjunto 37; Ceilandia Norte;4;2;3;126;0;0;Nenhuma;1;0;0;0;0;0
10000000;Planaltina DF, Vendo Magnífica Propriedade , 115 Hectares, Sendo 90 Hectares de Lavoura Podendo Plantar mais  Excelente Localização  Casa de Caseiro, Curral, Poço Artesiano.  Rober...;Área Rural; Area Rural de Planaltina;1;0;1;1150000;0;0;Nenhuma;0;0;0;0;0;0
1380000;Casa Térrea com 3 quartos 800m2 à Venda Arniqueiras     JOÃO SEVERO IMÓVEIS Vendem se, uma lindíssima Casa Térrea de 3 Qtos, sendo 2 suítes, com aproximadamente 800m² de área priva...;SHA Conjunto 4; Setor Habitacional Arniqueira;3;6;4;800;0;0;Nenhuma;1;0;0;0;0;0
315000;Shps Qd 401 Cond pôr do sol. Vendo uma excelente casa, toda na laje e porcelanato, com armários embutidos  novos, toda harmoniosa com a sala de jantar e de tv. 3 quartos sendo dois...;SHPS Quadra 401 Conjunto B; Setor Habitacional Por do Sol;3;2;1;155;0;0;Nenhuma;0;0;0;0;0;0
320000;Brazil Imobiliária Vende Excelente duplex, de três quartos, no Total Ville, em Santa Maria DF. São 120 metros quadrados de área total, proporciona o prazer de se viver em uma casa...;Rua 500 Lote 502; Setor Meireles;3;1;1;120;1;0;Nenhuma;0;0;0;1;0;0
265000;APARTAMENTO, 2 QUARTOS, 1º ANDAR, CANDANGOLANDIA.  CONDIÇÃO DE PAGAMENTO: Valor de venda do apartamento R$ 265.000,00 Aceita financiamento Valor IPTU mensal R$ 35,42 Valor condomín...;Candangolândia; Brasília;2;0;1;49;35;170;Nenhuma;0;0;0;0;0;0
520000;está localizado no bairro setor de oficinas tem 250 metros quadrados com 1 quarto e 3 banheiros;Quadra 1 Conjunto 7; Setor Leste;1;8;1;200;0;0;Nenhuma;0;0;0;1;0;0
360000;Qd 801  VENDO UMA CASA DE ESQuINA NO RECANTO DAS EMAS  NA QUADRA 801 CONJUNTO 2 ,escriturada e quitada, VALOR 300.000.00 MIL,  próximo ao colégio 801, CONTENDO 3 QUARTOS SENDO 1 CO...;Quadra 801 Conjunto 2; Recanto das Emas;3;4;1;150;248;0;Nenhuma;0;0;0;0;0;0
450000;"VENDIDO!!!  Ótima!! Casa de 03 Quartos no Jardins Mangueiral QC 15 por R$450.000,00  Sala ampla para dois ambientes com piso em porcelanato;  Cozinha com piso em cerâmica, pia em g...";Quadra QC 15; Jardins Mangueiral;3;2;3;68;0;0;Nenhuma;0;0;0;0;0;0
720000;O lote/terreno no bairro Setor Habitacional Vicente Pires tem 800 metros quadradosEncontra se na privacidade de um condomínio fechado. Terreno plano;Rua 6 Chácara 271; Setor Habitacional Vicente Pires;1;0;1;800;411;0;Nenhuma;0;0;0;1;0;0
750000;A casa no bairro Setor de Habitações Individuais Norte possui 190 metros quadrados com 4 quartos sendo 1 suite e 4 banheiros Casa colonial dois pavimentos 190m² de área total const...;Vila Varjão do Torto; Lago Norte;4;2;4;190;0;0;Nenhuma;1;0;0;1;0;0
1450000;(OZIEL LISBOA CORRETOR)  VENDO LINDÍSSIMA CASA 4 SUÍTES FINO ACABAMENTO PORCELANATO ESQUADRIAS DE ALUMÍNIO EM LOTE DE 450m2 NASCENTE CONDOMÍNIO RUA 05 VICENTE PIRES COM EXCELENTE L...;Rua 5; Setor Habitacional Vicente Pires;4;4;6;450;0;0;Nenhuma;1;0;0;0;0;0
